column,count,null_count,bool_count,numeric_count,max,mean,min,stddev,nunique_numbers,nunique_numbers_lower,nunique_numbers_upper,inferred_dtype,dtype_fraction,type_unknown_count,type_null_count,type_fractional_count,type_integral_count,type_boolean_count,type_string_count,nunique_str,nunique_str_lower,ununique_str_upper,quantile_0.0000,quantile_0.0100,quantile_0.0500,quantile_0.2500,quantile_0.5000,quantile_0.7500,quantile_0.9500,quantile_0.9900,quantile_1.0000
settlement_amount,99999.0,0.0,0.0,2949.0,23105.58,4935.5991590369595,186.0,3494.1211273572158,2774.0,2774.0,2774.0,1.0,0.9705097050970509,0.0,97050.0,2949.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,347.760009765625,700.0,2103.0,4251.72021484375,6878.0,11654.0,14969.5703125,23105.580078125
dti_joint,99999.0,0.0,0.0,500.0,43.86,18.24994000000001,3.0,7.194795839406524,444.0,444.0,444.0,1.0,0.9949999499995,0.0,99499.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.550000190734863,7.460000038146973,13.1899995803833,17.600000381469727,22.649999618530273,31.510000228881836,37.810001373291016,43.86000061035156
settlement_status,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9705097050970509,0.0,97050.0,0.0,0.0,0.0,2949.0,3.0,3.0,3.0,,,,,,,,,
issue_d,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,99999.0,3.0,3.0,3.0,,,,,,,,,
sec_app_chargeoff_within_12_mths,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
settlement_percentage,99999.0,0.0,0.0,2949.0,97.66,47.16637165140716,20.0,5.713345020371275,264.0,264.0,264.0,1.0,0.9705097050970509,0.0,97050.0,2949.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,35.06999969482422,40.0,45.0,45.0,50.0,60.0,65.0,97.66000366210938
settlement_date,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9705097050970509,0.0,97050.0,0.0,0.0,0.0,2949.0,35.0,35.0,35.0,,,,,,,,,
mths_since_recent_inq,99999.0,0.0,0.0,89229.0,24.0,6.64888096919163,0.0,5.859930778567272,25.0,25.0,25.0,2.0,0.8922989229892299,0.0,10770.0,89229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,10.0,19.0,22.0,24.0
hardship_payoff_balance_amount,99999.0,0.0,0.0,781.0,29401.04,10246.053239436618,55.73,6362.4718227039475,781.0,781.0,781.0,1.0,0.992189921899219,0.0,99218.0,781.0,0.0,0.0,0.0,0.0,0.0,0.0,55.72999954223633,845.3599853515625,1695.0,5049.47021484375,9200.9296875,14699.8701171875,21972.599609375,28479.58984375,29401.0390625
num_accts_ever_120_pd,99999.0,0.0,0.0,99999.0,32.0,0.5235152351523515,0.0,1.3332066936702411,29.0,29.0,29.0,2.0,1.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,32.0
